Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,d7d6	12	0.03007934301910722	0.11249728293157407	15572	1857	16866	0.45406035865286487	0.05414783496136463	0.4917918063857705
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,d7d6,g1f3	13	0.010510009254934009	0.03930762330861794	5688	697	5598	0.47467245264124175	0.058165734790953855	0.46716181256780437
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,d7d6,b5a6	13	0.006150938404811166	0.023004620067039773	2940	395	3678	0.4192214458862113	0.05632396977042635	0.5244545843433623
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,f8g7	12	0.03007934301910722	0.11249728293157407	2418	210	2185	0.5023893621441928	0.04363183045917307	0.4539788073966341
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,f8g7,e4e5	13	0.008805691733621872	0.03293344517984373	830	47	532	0.589070262597587	0.0333569907735983	0.37757274662881474
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,f8g7,g1f3	13	0.00734328444783939	0.027464015675171313	574	58	543	0.48851063829787233	0.04936170212765958	0.4621276595744681
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,a6b5	12	0.03007934301910722	0.11249728293157407	888	91	758	0.5112262521588946	0.05238917674150835	0.436384571099597
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,d8a5	12	0.03007934301910722	0.11249728293157407	226	24	220	0.4808510638297872	0.05106382978723404	0.46808510638297873
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,e7e6	12	0.03007934301910722	0.11249728293157407	24	2	12	0.631578947368421	0.05263157894736842	0.3157894736842105
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,c8b7	12	0.03007934301910722	0.11249728293157407	5	0	11	0.3125	0.0	0.6875
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,d8b6	12	0.03007934301910722	0.11249728293157407	6	0	2	0.75	0.0	0.25
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,a6a5	12	0.03007934301910722	0.11249728293157407	3	0	3	0.5	0.0	0.5
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,d8c7	12	0.03007934301910722	0.11249728293157407	3	0	1	0.75	0.0	0.25
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4,e7e5	12	0.03007934301910722	0.11249728293157407	3	0	0	1.0	0.0	0.0
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,b5a6	11	0.0026827307953542403	0.010033461339980105	809	104	1118	0.3983259478089611	0.05120630231413097	0.5504677498769079
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,d7d6	10	0.03815263234515602	0.1426915299576491	280	38	233	0.5081669691470054	0.06896551724137931	0.42286751361161523
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,d8a5	10	0.03815263234515602	0.1426915299576491	21	5	11	0.5675675675675675	0.13513513513513514	0.2972972972972973
