Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx	stockfish_eval
A00: Mieses Opening	d2d3,g8f6,g2g3,g7g6,f1g2,f8g7,b1c3,e8h8,h2h4	9	0.0335971572718827	0.2562239287862976	611	62	393	0.573170731707317	0.0581613508442776	0.3686679174484052	1. d3 Nf6 2. g3 g6 3. Bg2 Bg7 4. Nc3 O-O 5. h4	rnbq1rk1/ppppppbp/5np1/8/7P/2NP2P1/PPP1PPB1/R1BQK1NR b KQ - 0 5	209	+73
A04: Zukertort Opening: Kingside Fianchetto	g1f3,g7g6,e2e4,f8g7,d2d3,e7e6,c1d2,g8e7,d2c3	9	0.0110132184527542	0.1641335093525678	619	64	397	0.5731481481481482	0.0592592592592592	0.3675925925925926	1. Nf3 g6 2. e4 Bg7 3. d3 e6 4. Bd2 Ne7 5. Bc3	rnbqk2r/ppppnpbp/4p1p1/8/4P3/2BP1N2/PPP2PPP/RN1QKB1R b KQkq - 3 5	210	-21
C22: Center Game: Hall Variation	e2e4,e7e5,d2d4,e5d4,d1d4,b8c6,d4c4,d7d6,b1c3,c8e6,c4e2	11	0.038692373022697	0.1219264194882944	545	32	374	0.573080967402734	0.0336487907465825	0.3932702418506835	1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qc4 d6 5. Nc3 Be6 6. Qe2	r2qkbnr/ppp2ppp/2npb3/8/4P3/2N5/PPP1QPPP/R1B1KBNR b KQkq - 3 6	211	+8
B10: Caro-Kann Defense	e2e4,c7c6,f2f4,d7d5,b1c3,d5e4,c3e4,g8f6,e4g5,h7h6,g5f7,e8f7	12	0.0171919190672122	0.2082922611207399	365	20	252	0.5729984301412873	0.0313971742543171	0.3956043956043956	1. e4 c6 2. f4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Ng5 h6 6. Nxf7 Kxf7	rnbq1b1r/pp2pkp1/2p2n1p/8/5P2/8/PPPP2PP/R1BQKBNR w KQ - 0 7	212	-269
B10: Caro-Kann Defense: Goldman Variation	e2e4,c7c6,b1c3,d7d5,d1f3,d5d4,f1c4	7	0.0126828671112043	0.1536619069551605	8011	492	5478	0.5729919176024605	0.0351906158357771	0.3918174665617624	1. e4 c6 2. Nc3 d5 3. Qf3 d4 4. Bc4	rnbqkbnr/pp2pppp/2p5/8/2BpP3/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq - 1 4	213	0
A00: Valencia Opening	d2d3,e7e5,b1d2,d7d5,e2e4,d5d4,f2f4	7	0.0139287141938174	0.1028513751197359	1242	70	856	0.5728782287822878	0.0322878228782287	0.3948339483394834	1. d3 e5 2. Nd2 d5 3. e4 d4 4. f4	rnbqkbnr/ppp2ppp/8/4p3/3pPP2/3P4/PPPN2PP/R1BQKBNR b KQkq - 0 4	214	+106
C00: French Defense: Wing Gambit	g1f3,e7e6,e2e4,d7d5,e4e5,c7c5,b2b4,c5b4,a2a3,b4a3,c1a3,f8a3,b1a3	13	0.0107983451122642	0.1185691438755068	6718	545	4464	0.5728660356442398	0.046473949006566	0.3806600153491942	1. Nf3 e6 2. e4 d5 3. e5 c5 4. b4 cxb4 5. a3 bxa3 6. Bxa3 Bxa3 7. Nxa3	rnbqk1nr/pp3ppp/4p3/3pP3/8/N4N2/2PP1PPP/R2QKB1R b KQkq - 0 7	215	+61
A00: Van't Kruijs Opening	e2e3,e7e6,b2b3,d7d5,c1b2,g8f6,g1f3,f8e7,c2c4,e8h8,g2g4	11	0.0149643105257273	0.1310550321472482	375	19	261	0.5725190839694656	0.0290076335877862	0.3984732824427481	1. e3 e6 2. b3 d5 3. Bb2 Nf6 4. Nf3 Be7 5. c4 O-O 6. g4	rnbq1rk1/ppp1bppp/4pn2/3p4/2P3P1/1P2PN2/PB1P1P1P/RN1QKB1R b KQ - 0 6	216	+91
C05: French Defense: Tarrasch Variation, Closed Variation	e2e4,e7e6,d2d4,d7d5,b1d2,g8f6,e4e5,f6d7,f1d3,c7c5,c2c3,b8c6,d1g4	13	0.0249660668748194	0.2124000171074139	1202	81	817	0.5723809523809524	0.0385714285714285	0.389047619047619	1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 c5 6. c3 Nc6 7. Qg4	r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P2Q1/2PB4/PP1N1PPP/R1B1K1NR b KQkq - 2 7	217	0
A04: Zukertort Opening: Kingside Fianchetto	g1f3,g7g6,d2d4,f8g7,e2e4,d7d6,f1c4,g8f6,d1e2,e8h8,b1c3	11	0.0101092054374796	0.1506607148798207	18053	1241	12250	0.5723116916053766	0.0393418716713162	0.3883464367233071	1. Nf3 g6 2. d4 Bg7 3. e4 d6 4. Bc4 Nf6 5. Qe2 O-O 6. Nc3	rnbq1rk1/ppp1ppbp/3p1np1/8/2BPP3/2N2N2/PPP1QPPP/R1B1K2R b KQ - 5 6	218	-22
C00: French Defense: Wing Gambit	e2e4,e7e6,g1f3,d7d5,e4e5,c7c5,b2b4,c5b4,d2d4,b8c6,a2a3,b4a3,c1a3	13	0.0121620283265692	0.1034690421032866	4371	342	2928	0.5720455437769926	0.0447585394581861	0.3831959167648213	1. e4 e6 2. Nf3 d5 3. e5 c5 4. b4 cxb4 5. d4 Nc6 6. a3 bxa3 7. Bxa3	r1bqkbnr/pp3ppp/2n1p3/3pP3/3P4/B4N2/2P2PPP/RN1QKB1R b KQkq - 0 7	219	+69
B10: Caro-Kann Defense	e2e4,c7c6,f2f4,d7d5,b1c3,d5e4,c3e4,c8f5,e4g3	9	0.0133685172070486	0.1619690428975027	8949	549	6158	0.5716019417475728	0.0350664282064384	0.3933316300459887	1. e4 c6 2. f4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3	rn1qkbnr/pp2pppp/2p5/5b2/5P2/6N1/PPPP2PP/R1BQKBNR b KQkq - 2 5	220	0
A00: Van't Kruijs Opening	e2e3,c7c5,f1e2,b8c6,h2h4	5	0.0323200398344266	0.3006021556523713	620	15	450	0.5714285714285714	0.0138248847926267	0.4147465437788018	1. e3 c5 2. Be2 Nc6 3. h4	r1bqkbnr/pp1ppppp/2n5/2p5/7P/4P3/PPPPBPP1/RNBQK1NR b KQkq - 0 3	221	+86
A40: Horwitz Defense	d2d4,e7e6,g1f3,d7d5,c1g5,g8f6,h2h4,f8e7,g5f6,e7f6	10	0.0113804934938385	0.1159634146454024	340	27	228	0.5714285714285714	0.0453781512605042	0.3831932773109244	1. d4 e6 2. Nf3 d5 3. Bg5 Nf6 4. h4 Be7 5. Bxf6 Bxf6	rnbqk2r/ppp2ppp/4pb2/3p4/3P3P/5N2/PPP1PPP1/RN1QKB1R w KQkq - 0 6	222	-29
B20: Sicilian Defense: Wing Gambit	e2e4,c7c5,b2b4,c5b4,f2f4,d7d5,e4e5	7	0.0616337939493919	0.2630986614482356	501	27	349	0.5712656784492588	0.0307867730900798	0.3979475484606613	1. e4 c5 2. b4 cxb4 3. f4 d5 4. e5	rnbqkbnr/pp2pppp/8/3pP3/1p3P2/8/P1PP2PP/RNBQKBNR b KQkq - 0 4	223	+137
B10: Caro-Kann Defense: Scorpion-Horus Gambit	e2e4,c7c6,d2d3,d7d5,b1c3,d5e4,c1g5,e4d3,f1d3	9	0.0163634904783969	0.1982552627340684	786	38	552	0.5712209302325582	0.0276162790697674	0.4011627906976744	1. e4 c6 2. d3 d5 3. Nc3 dxe4 4. Bg5 exd3 5. Bxd3	rnbqkbnr/pp2pppp/2p5/6B1/8/2NB4/PPP2PPP/R2QK1NR b KQkq - 0 5	224	+58
A04: Zukertort Opening: Kingside Fianchetto	g1f3,g7g6,d2d4,f8g7,b1c3,d7d6,h2h4	7	0.0172373800355025	0.2568941757950302	1335	83	920	0.5710008554319932	0.0355004277159965	0.3934987168520102	1. Nf3 g6 2. d4 Bg7 3. Nc3 d6 4. h4	rnbqk1nr/ppp1ppbp/3p2p1/8/3P3P/2N2N2/PPP1PPP1/R1BQKB1R b KQkq - 0 4	225	-19
C00: French Defense: Alapin Gambit	e2e4,e7e6,d2d4,d7d5,c1e3,d5e4,f2f3,g8f6,f3e4,f6e4,f1d3	11	0.0130496685092547	0.1110206837348236	314	16	220	0.5709090909090909	0.029090909090909	0.4	1. e4 e6 2. d4 d5 3. Be3 dxe4 4. f3 Nf6 5. fxe4 Nxe4 6. Bd3	rnbqkb1r/ppp2ppp/4p3/8/3Pn3/3BB3/PPP3PP/RN1QK1NR b KQkq - 1 6	226	+122
B21: Sicilian Defense: Smith-Morra Gambit	e2e4,c7c5,d2d4,c5d4,f1c4,b8c6,c4f7,e8f7,g1f3,g8f6,e4e5	11	0.0289617227967261	0.1236300739057243	435	10	317	0.5708661417322834	0.0131233595800524	0.416010498687664	1. e4 c5 2. d4 cxd4 3. Bc4 Nc6 4. Bxf7+ Kxf7 5. Nf3 Nf6 6. e5	r1bq1b1r/pp1ppkpp/2n2n2/4P3/3p4/5N2/PPP2PPP/RNBQK2R b KQ - 0 6	227	+481
C00: French Defense: Horwitz Attack, Papa-Ticulat Gambit	e2e4,e7e6,b2b3,d7d5,c1b2,d5e4,b1c3,g8f6,h2h3	9	0.0331716626463443	0.2822095185794402	343	18	240	0.5707154742096506	0.0299500831946755	0.3993344425956738	1. e4 e6 2. b3 d5 3. Bb2 dxe4 4. Nc3 Nf6 5. h3	rnbqkb1r/ppp2ppp/4pn2/8/4p3/1PN4P/PBPP1PP1/R2QKBNR b KQkq - 0 5	228	+128
D00: Blackmar-Diemer Gambit: Teichmann Variation	d2d4,d7d5,e2e4,d5e4,b1c3,g8f6,f2f3,e4f3,g1f3,c8g4,h2h3	11	0.0447633236320094	0.1262460092503937	26618	1945	18077	0.5707118353344769	0.0417024013722126	0.3875857632933104	1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Bg4 6. h3	rn1qkb1r/ppp1pppp/5n2/8/3P2b1/2N2N1P/PPP3P1/R1BQKB1R b KQkq - 0 6	229	+30
